D 2023-04-16 17:54:59,945| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:54:59,946| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:00,451| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:00,462| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:00,462| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:00,968| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:00,985| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:00,986| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:01,492| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:01,505| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:01,506| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:02,011| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:02,018| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:02,019| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:02,522| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:02,528| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:02,529| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:03,033| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:03,041| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:03,041| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:03,547| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:03,562| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:03,563| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
