D 2023-04-29 13:14:50,780| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/clear {"id": "0de99e07-8cf2-492c-8535-9dc6ec6f2dfa"}
D 2023-04-29 13:14:51,993| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/clear HTTP/1.1" 200 14
D 2023-04-29 13:14:51,993| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:51,994| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value {"text": "\u4e09\u56fd\u5fd7\u6218\u7565\u7248", "value": ["\u4e09", "\u56fd", "\u5fd7", "\u6218", "\u7565", "\u7248"], "id": "0de99e07-8cf2-492c-8535-9dc6ec6f2dfa"}
D 2023-04-29 13:14:52,743| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value HTTP/1.1" 200 14
D 2023-04-29 13:14:52,748| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:52,749| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element {"using": "css selector", "value": ".keywords"}
D 2023-04-29 13:14:52,875| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element HTTP/1.1" 200 88
D 2023-04-29 13:14:52,876| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:52,876| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value {"text": "\ue03da", "value": ["\ue03d", "a"], "id": "0de99e07-8cf2-492c-8535-9dc6ec6f2dfa"}
D 2023-04-29 13:14:53,172| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value HTTP/1.1" 200 14
D 2023-04-29 13:14:53,172| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:55,178| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element {"using": "css selector", "value": ".keywords"}
D 2023-04-29 13:14:55,182| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element HTTP/1.1" 200 88
